Year,Month,Average_GI_job,Average_GI_dagpenge,Average_GI_kontanthjælp,Average_GI_akasse,Average_GI_jobnet
2007,01,94,48,22,37,34
2007,02,85,35,22,28,33
2007,03,76,42,24,35,33
2007,04,75,31,17,32,28
2007,05,74,32,24,28,31
2007,06,77,39,18,38,35
2007,07,78,39,20,33,35
2007,08,89,36,18,34,40
2007,09,84,42,17,30,36
2007,10,88,30,18,32,39
2007,11,80,30,17,23,40
2007,12,62,30,14,24,33
2008,01,92,40,17,45,50
2008,02,82,46,17,32,54
2008,03,82,36,19,32,50
2008,04,80,42,18,33,49
2008,05,82,38,17,30,50
2008,06,81,29,20,36,49
2008,07,79,33,18,32,46
2008,08,92,25,16,26,52
2008,09,94,38,23,33,57
2008,10,95,51,19,37,58
2008,11,88,48,23,33,61
2008,12,71,48,21,37,58
2009,01,100,53,32,55,85
2009,02,98,55,32,58,88
2009,03,88,55,31,50,88
2009,04,80,41,29,51,83
2009,05,77,42,34,59,89
2009,06,78,43,32,61,93
2009,07,74,40,29,49,88
2009,08,84,47,38,62,100
2009,09,82,45,31,63,98
2009,10,81,50,36,62,90
2009,11,74,46,36,63,92
2009,12,62,38,37,62,80
2010,01,84,58,43,85,92
2010,02,74,49,37,74,93
2010,03,75,47,35,83,94
2010,04,68,47,33,80,81
2010,05,68,70,43,74,82
2010,06,69,71,48,100,88
2010,07,70,48,38,83,87
2010,08,84,56,41,60,82
2010,09,78,52,29,64,81
2010,10,78,43,37,66,77
2010,11,78,59,39,61,72
2010,12,57,46,39,49,60
2011,01,86,67,50,65,77
2011,02,79,57,49,60,71
2011,03,79,60,49,49,73
2011,04,71,52,43,52,66
2011,05,80,61,40,52,71
2011,06,76,47,44,53,62
2011,07,69,47,42,53,58
2011,08,83,47,44,48,66
2011,09,77,73,51,50,80
2011,10,73,50,57,49,77
2011,11,71,61,65,41,80
2011,12,56,60,59,40,74
2012,01,79,68,82,64,93
2012,02,75,59,58,60,94
2012,03,68,68,59,68,89
2012,04,64,60,53,63,75
2012,05,63,61,53,44,79
2012,06,67,57,57,52,82
2012,07,64,63,52,54,91
2012,08,77,84,64,55,90
2012,09,71,75,71,56,90
2012,10,69,70,56,39,92
2012,11,67,61,60,30,92
2012,12,50,60,59,34,74
2013,01,75,77,86,47,99
2013,02,75,72,100,33,94
2013,03,63,60,63,38,84
2013,04,67,66,72,41,83
2013,05,67,84,60,36,81
2013,06,67,59,63,33,81
2013,07,67,56,59,39,79
2013,08,79,62,62,41,80
2013,09,77,62,67,37,81
2013,10,75,58,72,25,76
2013,11,70,52,81,28,71
2013,12,58,53,89,22,61
2014,01,82,71,89,35,82
2014,02,82,70,73,32,78
2014,03,79,75,71,31,74
2014,04,74,62,59,24,65
2014,05,72,71,59,30,65
2014,06,76,69,64,36,70
2014,07,73,56,55,29,68
2014,08,84,80,53,26,70
2014,09,86,76,57,27,76
2014,10,81,67,57,25,67
2014,11,79,72,64,27,67
2014,12,63,61,60,25,57
2015,01,85,79,65,31,72
2015,02,82,67,58,26,71
2015,03,80,73,74,28,69
2015,04,77,64,56,27,59
2015,05,77,71,60,27,60
2015,06,79,89,85,28,63
2015,07,77,66,56,24,62
2015,08,90,66,49,29,69
2015,09,90,76,51,37,65
2015,10,87,100,64,28,63
2015,11,80,63,66,24,61
2015,12,71,61,56,21,50
2016,01,92,76,61,28,50
2016,02,89,71,61,35,49
2016,03,83,65,66,24,43
2016,04,82,61,51,22,39
2016,05,80,64,54,16,38
2016,06,81,69,53,40,41
2016,07,74,58,49,33,35
2016,08,87,66,52,20,38
2016,09,91,69,73,20,38
2016,10,86,64,66,20,39
2016,11,89,66,58,30,37
2016,12,71,57,48,17,33
2017,01,94,85,59,21,41
2017,02,91,69,59,22,41
2017,03,90,75,57,27,40
2017,04,79,68,44,24,33
2017,05,84,66,45,22,34
2017,06,85,79,43,17,35
2017,07,74,62,41,18,36
2017,08,88,67,40,26,41
2017,09,90,63,45,21,41
2017,10,85,60,41,20,43
2017,11,80,64,46,21,39
2017,12,67,54,38,16,35
2018,01,95,80,53,25,46
2018,02,93,75,55,22,45
2018,03,82,77,52,24,40
2018,04,79,62,43,19,35
2018,05,78,66,40,16,37
2018,06,77,72,42,18,35
2018,07,70,66,37,18,32
2018,08,89,63,34,17,34
